completed_date,cycle_time,blocked_days,key,url,issue_type,summary,status,resolution,Backlog,Committed,Elaboration,Build,QA,Done
2019-11-12,22.0,0,FAB-24043,https://immediateco.atlassian.net/browse/FAB-24043,Sub-Task,Allow brightcove videos in content blocks for Content API,Ready For Release,Done,,,,2019-10-21,2019-10-21,2019-11-12
2019-11-20,1.0,0,FAB-23963,https://immediateco.atlassian.net/browse/FAB-23963,Sub-Task,test/confirm that the new deployment is up and working,Ready For Release,Done,,,,2019-11-19,2019-11-19,2019-11-20
2019-11-19,34.0,0,FAB-23962,https://immediateco.atlassian.net/browse/FAB-23962,Sub-Task,deploy the new image with the TD,Complete,Done,,,,,2019-10-16,2019-11-19
2019-10-22,7.0,0,FAB-23940,https://immediateco.atlassian.net/browse/FAB-23940,Discovery Story,Illustrate the user flow for users saving a recipe & creating a collection,Complete,Done,,,,2019-10-15,2019-10-15,2019-10-22
2019-11-28,45.0,0,FAB-23936,https://immediateco.atlassian.net/browse/FAB-23936,Discovery Story,BBC Good Food Show : Logistics,Closed,Done,,,2019-10-14,2019-10-21,,2019-11-28
2019-12-03,49.0,0,FAB-23929,https://immediateco.atlassian.net/browse/FAB-23929,Story,Reactions - Set-up Mongo Database for STAGING,Ready For Release,Done,2019-10-15,2019-10-15,2019-10-15,2019-10-18,2019-11-15,2019-12-03
2019-10-21,7.0,0,FAB-23894,https://immediateco.atlassian.net/browse/FAB-23894,Bug (subtask),Slower internet incorrectly causes ad to pop-down for less than a second,Closed,Done,,,,2019-10-14,2019-10-14,2019-10-21
2019-12-02,34.0,0,FAB-23891,https://immediateco.atlassian.net/browse/FAB-23891,Story,Recipe schema in Content API,Closed,Done,2019-10-11,2019-10-29,2019-10-29,,,2019-12-02
2019-11-18,20.0,0,FAB-23890,https://immediateco.atlassian.net/browse/FAB-23890,Story,Add recipe schema to step-by-step recipes,Closed,Done,2019-10-11,2019-10-29,2019-10-29,,,2019-11-18
2019-10-14,0.0,0,FAB-23888,https://immediateco.atlassian.net/browse/FAB-23888,Bug (subtask),Nothing happens when the hamburger icon is clicked,Ready For Release,Done,,,,2019-10-14,2019-10-14,2019-10-14
2019-10-17,3.0,0,FAB-23886,https://immediateco.atlassian.net/browse/FAB-23886,Bug (subtask),Hamburger menu doesn't expand fully when clicked,Ready For Release,Done,,,,2019-10-14,2019-10-14,2019-10-17
2019-10-17,6.0,0,FAB-23885,https://immediateco.atlassian.net/browse/FAB-23885,Bug (subtask),Scrolling down the page incorrectly reveals the breadcrumb,Ready For Release,Done,,,,2019-10-11,2019-10-15,2019-10-17
2019-10-11,0.0,0,FAB-23882,https://immediateco.atlassian.net/browse/FAB-23882,Bug (subtask),(Landscape mode) Hamburger and search icons have too much padding against left and right borders,Closed,Done,,,,2019-10-11,,2019-10-11
