ID,Link,Name,Backlog,Committed,Elaboration,Build,QA,Done,Type,Status,Resolution,Blocked Days
FAB-19887,https://immediateco.atlassian.net/browse/FAB-19887,Recipe : Components,,2019-05-01,2019-05-17,2019-05-17,,2019-08-07,Epic,Complete,Done,0
FAB-19832,https://immediateco.atlassian.net/browse/FAB-19832,Components : Nutrition,2019-03-29,2019-04-04,2019-04-04,2019-04-15,2019-04-16,2019-04-25,Story,Complete,Done,0
FAB-19765,https://immediateco.atlassian.net/browse/FAB-19765,Unsecured Draft Preview for Headless Recipes,2019-03-21,,,,,,Epic,Define Task,,0
FAB-19745,https://immediateco.atlassian.net/browse/FAB-19745,Components : Grid Layout,2019-03-22,2019-03-22,2019-03-25,2019-04-29,2019-04-29,2019-05-02,Story,Complete,Done,0
FAB-19731,https://immediateco.atlassian.net/browse/FAB-19731,Recipe : Editorial Recipes with Real Data,,,2019-04-08,2019-07-05,,2019-08-21,Epic,Complete,Done,0
FAB-19675,https://immediateco.atlassian.net/browse/FAB-19675,Print my Recipe,,,2019-03-18,2019-12-06,,,Epic,In Progress,,0
FAB-19673,https://immediateco.atlassian.net/browse/FAB-19673,301 Redirects for Slug changes,2019-03-18,,,,,,Story,Define Task,,0
FAB-19658,https://immediateco.atlassian.net/browse/FAB-19658,Update Recipe : Editing a Published Recipe,2019-03-18,2019-05-17,2019-05-17,2019-06-04,,2019-06-27,Epic,Complete,Done,0
FAB-19624,https://immediateco.atlassian.net/browse/FAB-19624,Investigate impact of API failure on data update,2019-03-14,2019-05-15,2019-05-15,2019-05-29,2019-05-30,2019-05-30,Spike,Complete,Done,0
FAB-19622,https://immediateco.atlassian.net/browse/FAB-19622,Content API : Automated sync of data,2019-03-14,2019-04-30,2019-04-30,2019-07-19,2019-07-22,2019-07-25,Story,Complete,Done,0
FAB-19621,https://immediateco.atlassian.net/browse/FAB-19621,Content API : Repeatable manual sync of existing data,2019-03-14,2019-04-30,2019-04-30,2019-07-16,2019-07-19,2019-07-24,Story,Complete,Done,0
FAB-19615,https://immediateco.atlassian.net/browse/FAB-19615,Update data in content API,2019-03-14,2019-04-11,2019-04-30,2019-05-20,2019-05-29,2019-06-07,Story,Complete,Done,0
FAB-19546,https://immediateco.atlassian.net/browse/FAB-19546,DESIGN: Standardise iconography across Fabric/GoodFood Designs,2019-05-07,,,,,,Discovery Design Story,Preparation,,0
FAB-19447,https://immediateco.atlassian.net/browse/FAB-19447,DESIGN: Recipe sponsors & member recipes,,,2019-04-08,2019-04-15,2019-05-02,2019-07-05,Discovery Design Story,Complete,Done,0
FAB-19432,https://immediateco.atlassian.net/browse/FAB-19432,Ads : Use new targeting package to generate DFP and Permutive targeting data in wcp-core (Risky),2019-03-06,,,,,2019-07-23,Story,Closed,Done,0
FAB-19431,https://immediateco.atlassian.net/browse/FAB-19431,Ads : Pull targeting logic out of wcp-core and into a separate package (No risk),2019-03-06,,,,,2019-07-23,Story,Closed,Done,0
FAB-19334,https://immediateco.atlassian.net/browse/FAB-19334,Glossary navigation,,2019-04-09,2019-08-14,2019-08-14,,,Epic,In Progress,,0
FAB-19311,https://immediateco.atlassian.net/browse/FAB-19311,Ads : Style as per im-fabric (No risk),2019-03-04,,,,,2019-07-23,Story,Closed,Done,0
FAB-19276,https://immediateco.atlassian.net/browse/FAB-19276,New Squarish IM Thumbnail meta field,,2019-09-25,2019-09-26,2019-09-26,,2019-11-06,Epic,Complete,Done,0
FAB-19275,https://immediateco.atlassian.net/browse/FAB-19275,Migrate landscape and portrait thumbnails to new IM Thumbnail meta field ,2019-03-01,2019-03-01,2019-03-01,2019-04-12,2019-04-24,2019-05-14,Story,Complete,Done,0
FAB-19261,https://immediateco.atlassian.net/browse/FAB-19261,Ads : DFP targeting settings to the recipes frontend,2019-02-28,2019-02-28,,,,2019-03-01,Story,Closed,Done,0
FAB-19237,https://immediateco.atlassian.net/browse/FAB-19237,Ads : Add Lazy Loading for Ads to the Recipes Frontend,2019-04-03,2019-04-03,2019-04-08,2019-04-12,2019-04-12,2019-04-15,Story,Complete,Done,0
FAB-19220,https://immediateco.atlassian.net/browse/FAB-19220,DESIGN: Good food header,2019-03-06,,2019-04-23,2019-05-10,2019-05-16,2019-06-27,Discovery Design Story,Closed,Done,0
FAB-19032,https://immediateco.atlassian.net/browse/FAB-19032,UX Admin: Advertising - Magazine banner ,2019-03-06,,2019-07-15,2019-07-29,2019-08-01,2019-08-16,Discovery Elaboration,Complete,Done,0
FAB-19010,https://immediateco.atlassian.net/browse/FAB-19010,"UX ADMIN: Recipe key features - Diet, planning & Nutrition",,,2019-03-06,2019-03-12,2019-07-16,2019-07-17,Discovery Elaboration,Complete,Done,0
FAB-18987,https://immediateco.atlassian.net/browse/FAB-18987,Option to have square aspect ratio thumbnails,2019-02-20,2019-02-20,2019-03-01,2019-03-11,2019-04-12,2019-04-15,Story,Complete,Done,0
FAB-18985,https://immediateco.atlassian.net/browse/FAB-18985,Handling of redirects when a slug changes,2019-02-27,,,,,,Spike,Define Task,,0
FAB-18822,https://immediateco.atlassian.net/browse/FAB-18822,"My Hub : Create, edit and delete my Collections",2019-02-11,,,,,,Epic,Define Task,,0
FAB-18819,https://immediateco.atlassian.net/browse/FAB-18819,BE MyGF 01 | User Collections API,2019-06-12,2019-06-12,2019-10-09,2019-10-09,,2019-10-09,Epic,Complete,Done,0
FAB-18818,https://immediateco.atlassian.net/browse/FAB-18818,Recipe : Save to a Collection in my Hub,2019-02-11,,,,,,Epic,Define Task,,0
FAB-18817,https://immediateco.atlassian.net/browse/FAB-18817,Recipe : Save a Recipe to My Hub,2019-02-11,2019-11-19,,,,,Epic,Ready For Shaping,,0
FAB-18728,https://immediateco.atlassian.net/browse/FAB-18728,UGR Service Infrastructure,2019-11-21,,,,,,Epic,Define Task,,0
FAB-18726,https://immediateco.atlassian.net/browse/FAB-18726,Recipe Add-Ons : SEO,2019-02-07,2019-10-02,,,,,Epic,Ready For Shaping,,0
FAB-18725,https://immediateco.atlassian.net/browse/FAB-18725,UGR Service (API + Database),,,2019-02-07,2019-08-14,,,Epic,In Progress,,0
FAB-18652,https://immediateco.atlassian.net/browse/FAB-18652,Ads : Enable index exchange support,2019-02-04,2019-04-03,2019-04-04,2019-04-11,2019-04-12,2019-04-15,Story,Complete,Done,0
FAB-18651,https://immediateco.atlassian.net/browse/FAB-18651,Ads : Pass DFP and Permutive Targeting Data to the Recipes Frontend to Allow for Targeted Ads (Mid Risk),2019-02-04,,,,,2019-07-23,Story,Closed,Done,0
FAB-18634,https://immediateco.atlassian.net/browse/FAB-18634,Recipes frontend 404 handling,2019-10-24,2019-11-04,2019-11-04,2019-12-02,,,Story,In Progress,,0
FAB-18437,https://immediateco.atlassian.net/browse/FAB-18437,Recipe : Routing,,2019-03-22,2019-03-25,2019-03-25,,,Epic,On Hold,,0
FAB-18386,https://immediateco.atlassian.net/browse/FAB-18386,Onward Journeys : Promo widget - Admin API & front-end component,2019-01-23,2019-11-13,,,,,Story,Ready For Shaping,,0
FAB-18381,https://immediateco.atlassian.net/browse/FAB-18381,3rd Party : Outbrain,2019-06-05,2019-06-05,2019-06-05,2019-09-23,2019-10-02,2019-10-02,Story,Complete,Done,0
FAB-18379,https://immediateco.atlassian.net/browse/FAB-18379,Print recipe from headless page ,2019-01-23,2019-11-26,,,,,Story,Ready For Shaping,,0
FAB-18370,https://immediateco.atlassian.net/browse/FAB-18370,Editorial : Populate with API data,2019-01-23,2019-07-01,2019-07-01,2019-07-02,2019-07-08,2019-07-22,Story,Complete,Done,0
FAB-18312,https://immediateco.atlassian.net/browse/FAB-18312,Recipe redirects,2019-01-21,,,,,,Story,Define Task,,0
FAB-17767,https://immediateco.atlassian.net/browse/FAB-17767,Routing : Headless application routing,2018-12-20,2019-11-19,2019-11-19,2019-11-20,2019-11-25,2019-12-03,Story,Ready For Release,Done,0
FAB-17703,https://immediateco.atlassian.net/browse/FAB-17703,Facebook and Twitter OG meta data,2018-12-21,2019-06-28,2019-07-16,,,,Story,Ready For Development,,0
FAB-17702,https://immediateco.atlassian.net/browse/FAB-17702,SEO: Recipe Structured Data,2018-12-21,2019-10-28,2019-11-08,,,,Epic,Ready For Development,,0
